Gait 2:   z= -12,,,,,,,,,,,,,,,,,,,,,,,,
rev 2 - adds torso lean,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
step height (inch),,,,,,,,,,,,t0,0.2,,,,,,,,,,,
stride (inch),13,,,,,,,,,,,T,4,,,,,,,,,,,
torso max lean deg.,5,,,,,,,,,,,A,15,,,,,,,,,,,
,,,,,,,,,,,,k,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Number of steps:,40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,positive angle is leaning forward,,,Joint angle - leg 1,,,Actuator RPM,,,Dynamixel speed,,Safety margin on COG (inch - positive is good)
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,Description,hip,femur,knee,hip,femur,knee,hip,femur,knee,
3.1,-17,5.147,-12,17,12.794,-12,17,-12.029,-12,-17,-4.382,-12,4.6352549156,,,,,0,0,0,0,0,0,3.441
3.2,-17,4.765,-12,17,12.412,-12,17,-12.412,-12,-17,-4.765,-12,5.51091059616309E-015,,,,,0,0,0,0,0,0,3.82
3.3,-17,4.382,-12,17,12.029,-12,17,-12.794,-12,-17,-5.147,-12,-4.6352549156,,,,,89.3,130.9,157.1,781,1144,1373,3.44
3.4,-17,4,-12,17,11.647,-12,17,-13.176,-12,-17,-5.529,-12,-8.8167787844,leg 1 lifts,-53.593,19.64,-23.56,0,41.2,0,0,360,0,3.06
3.5,-18.369,3.793,-10.976,17,11.265,-12,17,-13.559,-12,-17,-5.912,-12,-12.1352549156,,-53.593,25.82,-23.56,22.3,41.2,36.5,195,360,319,2.68
3.6,-21.184,7.008,-9.313,17,10.882,-12,17,-13.941,-12,-17,-6.294,-12,-14.2658477444,,-40.195,32,-18.087,22.3,-33.3,36.5,195,291,319,2.29
3.7,-20.915,10.708,-9.89,17,10.5,-12,17,-14.324,-12,-17,-6.676,-12,-15,,-26.797,27,-12.615,22.3,-33.3,36.5,195,291,319,1.91
3.8,-19.702,14.317,-10.495,17,10.118,-12,17,-14.706,-12,-17,-7.059,-12,-14.2658477444,,-13.398,22,-7.142,22.3,-33.3,36.5,195,291,319,1.53
3.9,-17.582,17.582,-11.122,17,9.735,-12,17,-15.088,-12,-17,-7.441,-12,-12.1352549156,,0,17,-1.669,0,-24.4,0,0,213,0,1.15
,-17,17,-12,,,,,,,,,,,,0,13.343,-1.669,,,,,,,
