Gait 2:   z= -12,,,,,,,,,,,,,,,,,,,,,,,,
"Rev 1 - faster step ahead, longer time for all four feet on the ground",,,,,,,,,,,,,,,,,,,,,,,,
7/25/2013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
step height (inch),,,,,,,,,,,,,,,,,,,,,,,,
stride (inch),13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Number of steps:,40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,positive angle is leaning forward,,,Joint angle - leg 1,,,Actuator RPM,,,Dynamixel speed,,Safety margin on COG (inch - positive is good)
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,T,Description,hip,femur,knee,hip,femur,knee,hip,femur,knee,
3.00,-17.0,5.529,-12.0,17.0,13.176,-12.0,17.0,-11.647,-12.0,-17.000,-4.000,-12.0,,leg 4 lands,,,,0.0,0.0,0.0,0,0,0,3.059
3.10,-17.0,5.147,-12.0,17.0,12.794,-12.0,17.0,-12.029,-12.0,-17.0,-4.382,-12.0,,,,,,0.0,0.0,0.0,0,0,0,3.441
3.20,-17.0,4.765,-12.0,17.0,12.412,-12.0,17.0,-12.412,-12.0,-17.0,-4.765,-12.0,,,,,,0.0,0.0,0.0,0,0,0,3.82
3.30,-17.0,4.382,-12.0,17.0,12.029,-12.0,17.0,-12.794,-12.0,-17.0,-5.147,-12.0,,,,,,89.3,130.9,157.1,781,1144,1373,3.44
3.40,-17.0,4.000,-12.0,17.0,11.647,-12.0,17.0,-13.176,-12.0,-17.0,-5.529,-12.0,,leg 1 lifts,-53.593,19.640,-23.560,0.0,41.2,0.0,0,360,0,3.06
3.50,-18.369,3.793,-10.976,17.0,11.265,-12.0,17.0,-13.559,-12.0,-17.0,-5.912,-12.0,,,-53.593,25.820,-23.560,22.3,41.2,36.5,195,360,319,2.68
3.60,-21.184,7.008,-9.313,17.0,10.882,-12.0,17.0,-13.941,-12.0,-17.0,-6.294,-12.0,,,-40.195,32.000,-18.087,22.3,-33.3,36.5,195,291,319,2.29
3.70,-20.915,10.708,-9.89,17.0,10.500,-12.0,17.0,-14.324,-12.0,-17.0,-6.676,-12.0,,,-26.797,27.000,-12.615,22.3,-33.3,36.5,195,291,319,1.91
3.80,-19.702,14.317,-10.495,17.0,10.118,-12.0,17.0,-14.706,-12.0,-17.0,-7.059,-12.0,,,-13.398,22.000,-7.142,22.3,-33.3,36.5,195,291,319,1.53
3.90,-17.582,17.582,-11.122,17.0,9.735,-12.0,17.0,-15.088,-12.0,-17.0,-7.441,-12.0,,,0.000,17.000,-1.669,0.0,-24.4,0.0,0,213,0,1.15
