Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,l1ift,l21ift,l31ift,l41ift
14.4,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-11.265,0,0,0,0,-1,
14.5,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-11.865,0,0,0,0,-1,
14.6,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-12.465,0,0,0,0,-1,
14.7,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-13.065,0,0,0,0,-1,
14.8,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-13.665,0,0,0,0,-1,
14.9,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-14.265,0,0,0,0,-1,
15,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-14.865,0,0,0,0,-1,
15.1,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-15.465,0,0,0,0,-1,
15.2,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-16.065,0,0,0,0,-1,
15.3,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-16.665,0,0,0,0,-2,
15.4,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-17.265,0,0,0,0,-2,
15.5,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-17.865,0,0,0,0,-2,
15.6,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-18.465,0,0,0,0,-3,
15.7,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-19.065,0,0,0,0,-3,
15.8,-17.2457,10.1843,-19.665,10.5543,10.1843,-19.665,10.5543,-17.6157,-19.665,-17.2457,-17.6157,-19.665,0,0,0,0,0,
15.9,-16.8389,9.85492,-19.665,10.9611,9.85492,-19.665,10.9611,-17.9451,-19.665,-16.8389,-17.9451,-19.665,0,0,0,0,0,
16,-16.4,9.56987,-19.665,11.4,9.56987,-19.665,11.4,-18.2301,-19.665,-16.4,-18.2301,-19.665,0,0,0,0,0,
16.1,-15.9337,9.33227,-19.665,11.8663,9.33227,-19.665,11.8663,-18.4677,-19.665,-15.9337,-18.4677,-19.665,0,0,0,0,0,
16.2,-15.4451,9.14472,-19.665,12.3549,9.14472,-19.665,12.3549,-18.6553,-19.665,-15.4451,-18.6553,-19.665,0,0,0,0,0,
16.3,-14.9396,9.00926,-19.665,12.8604,9.00926,-19.665,12.8604,-18.7907,-19.665,-14.9396,-18.7907,-19.665,0,0,0,0,0,
16.4,-14.4226,8.92739,-19.665,13.3774,8.92739,-19.665,13.3774,-18.8726,-19.665,-14.4226,-18.8726,-19.665,0,0,0,0,0,
16.5,-13.9,8.9,-19.665,13.9,8.9,-19.665,13.9,-18.9,-19.665,-13.9,-18.9,-19.665,0,0,0,0,0,
