Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,l1ift,l21ift,l31ift,l41ift
11,-18.9,13.9,-19.665,8.9,13.9,-19.665,8.9,-13.9,-19.665,-18.9,-13.9,-19.665,0,0,0,0,0,
11.1,-18.8726,13.3774,-19.665,8.92739,13.3774,-19.665,8.92739,-14.4226,-19.665,-18.8726,-14.4226,-19.665,0,0,0,0,0,
11.2,-18.7907,12.8604,-19.665,9.00926,12.8604,-19.665,9.00926,-14.9396,-19.665,-18.7907,-14.9396,-19.665,0,0,0,0,0,
11.3,-18.6553,12.3549,-19.665,9.14472,12.3549,-19.665,9.14472,-15.4451,-19.665,-18.6553,-15.4451,-19.665,0,0,0,0,0,
11.4,-18.4677,11.8663,-19.665,9.33227,11.8663,-19.665,9.33227,-15.9337,-19.665,-18.4677,-15.9337,-19.665,0,0,0,0,0,
11.5,-18.2301,11.4,-19.665,9.56987,11.4,-19.665,9.56987,-16.4,-19.665,-18.2301,-16.4,-19.665,0,0,0,0,0,
11.6,-17.9451,10.9611,-19.665,9.85492,10.9611,-19.665,9.85492,-16.8389,-19.665,-17.9451,-16.8389,-19.665,0,0,0,0,0,
11.7,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-19.665,0,0,0,0,0,
11.8,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-19.665,0,0,0,0,1,
11.9,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-19.065,0,0,0,0,1,
12,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-18.465,0,0,0,0,1,
12.1,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-17.865,0,0,0,0,1,
12.2,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-17.265,0,0,0,0,1,
12.3,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-16.665,0,0,0,0,1,
12.4,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-16.065,0,0,0,0,1,
12.5,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-15.465,0,0,0,0,1,
12.6,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-14.865,0,0,0,0,1,
12.7,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-14.265,0,0,0,0,1,
12.8,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-13.665,0,0,0,0,1,
12.9,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-13.065,0,0,0,0,1,
13,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-12.465,0,0,0,0,1,
13.1,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-11.865,0,0,0,0,1,
13.2,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-11.265,0,0,0,0,1,
13.3,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-10.665,0,0,0,0,1,
13.4,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-10.065,0,0,0,0,1,
13.5,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-9.465,0,0,0,0,1,
13.6,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-8.865,0,0,0,0,1,
13.7,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-8.265,0,0,0,0,1,
13.8,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-7.665,0,0,0,0,-1,
13.9,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-8.265,0,0,0,0,-1,
14,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-8.865,0,0,0,0,-1,
14.1,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-9.465,0,0,0,0,-1,
14.2,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-10.065,0,0,0,0,-1,
14.3,-17.6157,10.5543,-19.665,10.1843,10.5543,-19.665,10.1843,-17.2457,-19.665,-17.6157,-17.2457,-10.665,0,0,0,0,-1,
