time,note,11,12,13,21,22,23,31,32,33,41,42,43
0,out,20,45,0,20,45,0,20,45,0,20,45,0
3,knees0,-30,45,0, -30,45,0, -30,45,0, -30,45,0
6,knees1,-30,0,0, -30,0,0, -30,0,0, -30,0,0
9,home,0,0,0,0,0,0,0,0,0,0,0,0
