time,11,12,13,21,22,23,31,32,33,41,42,43,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,91,93,94
0,40,47.5,-180,47.75,0.242676,-180,48,44,-0.703125,-0.216309,0.244141,0.175781,-90,-90,0,0,-48.6486,-44.3491,10.8082,11.5446,28.1963,-180,-180,-180,0.615234,1.4015,-28.7664,1.04519,43.5177,35.4651,0.217707,-180,180
1,40,47.5,-180,-0.128418,0.242676,-180,48,44,-0.615234,-0.216309,0.244141,0.175781,-90,-90,0,0,-48.6486,-44.3491,10.8082,11.5446,28.1963,-180,-180,-180,-158.203,1.37774,-28.7664,1.06894,43.5177,35.4413,0.247004,-180,180
2,40,47.5,-180,47.75,0.242676,-180,48,44,-0.703125,-0.216309,0.244141,0,-90,-90,0,0,-48.6486,-44.3491,10.8082,11.5446,28.1963,-180,-180,-180,0.615234,1.37774,-28.7664,1.06894,43.5177,35.4413,0.422785,-180,180
3,40,47.5,-180,-0.128418,0.242676,-180,48,44,-0.615234,-0.216309,0.244141,0.175781,90,90,0,0,-48.6486,-44.3491,10.8082,11.5446,28.1963,-180,-180,-180,0.615234,1.37774,-28.7901,1.06894,43.5177,35.4413,0.422785,-180,180
4,40,47.5,-180,-0.128418,0.242676,-180,48,44,-0.615234,-0.216309,0.244141,0.263672,90,90,0,0,-48.6486,-44.3491,10.8082,11.5446,28.1963,-180,-180,-180,-180,1.37774,-28.7664,1.04519,43.5177,35.4651,0.18841,-180,180
5,40,47.5,-180,-0.128418,0.242676,-180,48,44,-0.615234,-0.194336,0.244141,0.0878906,90,90,0,0,-48.6486,-44.3491,10.8082,11.5446,28.1963,-180,-180,-180,0.615234,1.37774,-28.7664,1.04519,43.5177,35.4413,0.247004,-180,180
