t,61,62,63,64,65,66,67,68,69
0,0.2,5,5.2,5.2,-7.5,-21.7,46,-2,-23
2,0.2,5,5.2,5.2,-7.5,-21.7,46,-2,-23
4,0.2,5,5.2,5.2,-21.9,-11,36.8,-9.6,-16.6
6,0.2,5,5.2,5.2,-23.5,-7.9,19.8,-18,-13.8
8,0.2,5,5.2,5.2,-23.6,-9.1,5.6,-32,-15.4
10,0.2,5,5.2,5.2,-26,-9.8,7,-35.1,-10.6
12,0.2,5,5.2,5.2,-26,-10.9,17.4,-31.9,-4.5
14,0.2,5,5.2,5.2,-24.9,-9.4,32.1,-13.1,-4.5
16,0.2,5,5.2,5.2,-24.3,-10.3,46.3,-0.6,-10.7
18,0.2,5,5.2,5.2,-14.5,-12.7,46,0.4,-16.2
