"Gait 4 rev 0 - walk straight ahead, but lift legs 1 and 2 first, then 3 and 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduces movement of torso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step height (inch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stride (inch),13.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torso max lean deg.,10.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:15 thurs aug 29th,,dozen people,
,,chassy height above ground,,,16.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angela fullerton,,,
Number of steps:,40,step height,,,4.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242-6555,,,
,,,,,,,,,,,,,,,,,,,,,positive angle is leaning forward,,,,,,,Joint angle - leg 1,,,Actuator RPM to reach this point from previous point,,,Dynamixel speed,,Safety margin on COG (inch - positive is good),,
Time (seconds),x1o,x1,y1o,y1,z1,x2o,x2,y2o,y2,z2,x3o,x3,y3o,y3,z3,x4o,x4,y4o,y4,z4,waist,phase,distance,dx,dy,Description,hip,femur,knee,hip,femur,knee,hip,femur,knee,,,
1.4,-17.000,-14.573,11.647,9.884,-16.000,17.000,19.427,15.471,13.707,-16.000,17.000,19.427,-17.000,-18.763,-16.000,-17.000,-14.573,-13.176,-14.940,-16.000,0.0,126.0,3.0,2.4,-1.8,leg 3 lifts,-17.254,18.649,-17.957,2.495,1.2733333333,5.4266666667,22,12,47.4201759631,3.0588235294,,
1.5,-17.000,-14.879,11.265,9.143,-16.000,17.000,19.121,15.088,12.967,-16.000,17.000,19.121,-17.582,-19.703,-13.649,-17.000,-14.879,-13.559,-15.680,-16.000,0.0,135.0,3.0,2.1,-2.1,,-18.793,18.816,-18.72,2.565,1.1133333333,5.0866666667,23,10,44.4491329974,2.6764705882,,
1.6,-17.000,-15.237,10.882,8.455,-16.000,17.000,18.763,14.706,12.279,-16.000,17.000,18.763,-14.317,-16.744,-12.196,-17.000,-15.237,-13.941,-16.368,-16.000,0.0,144.0,3.0,1.8,-2.4,,-20.378,18.969,-19.433,2.6416666667,1.02,4.7533333333,24,9,41.536345776,2.2941176471,,
1.7,-17.000,-15.638,10.500,7.827,-16.000,17.000,18.362,14.324,11.651,-16.000,17.000,18.362,-10.708,-13.381,-12.196,-17.000,-15.638,-14.324,-16.997,-16.000,0.0,153.0,3.0,1.4,-2.7,,-22,19.099,-20.093,2.7033333333,0.8666666667,4.4,24,8,38.4487913214,1.9117647059,,
1.8,-17.000,-16.073,10.118,7.264,-16.000,17.000,17.927,13.941,11.088,-16.000,17.000,17.927,-7.008,-9.861,-13.649,-17.000,-16.073,-14.706,-17.559,-16.000,0.0,162.0,3.0,0.9,-2.9,,-23.662,19.212,-20.702,2.77,0.7533333333,4.06,25,7,35.4777483557,1.5294117647,,
1.9,-17.000,-16.531,9.735,6.772,-16.000,17.000,17.469,13.559,10.596,-16.000,17.000,17.469,-3.793,-6.756,-16.000,-17.000,-16.531,-15.088,-18.051,-16.000,0.0,171.0,3.0,0.5,-3.0,,-25.367,19.31,-21.261,2.8416666667,0.6533333333,3.7266666667,25,6,32.5649611344,1.1470588235,,
2,-17.000,-17.000,9.353,6.353,-16.000,17.000,17.000,13.176,10.176,-16.000,17.000,17.000,-4.000,-7.000,-16.000,-17.000,-17.000,-15.471,-18.471,-16.000,0.0,180.0,3.0,0.0,-3.0,leg 3 lands,-27.105,19.393,-21.768,2.8966666667,0.5533333333,3.38,26,5,29.5356624242,0.7647058824,,5
2.1,-17.000,-17.469,8.971,6.008,-16.000,17.000,16.531,12.794,9.831,-16.000,17.000,16.531,-4.382,-7.345,-16.000,-17.000,-17.469,-15.853,-18.816,-16.000,0.0,189.0,3.0,-0.5,-3.0,,-28.877,19.462,-22.224,2.9533333333,0.46,3.04,26,5,26.5646194584,0.3823529412,,
2.2,-17.000,-17.927,8.588,5.735,-16.000,17.000,16.073,12.412,9.559,-16.000,17.000,16.073,-4.765,-7.618,-16.000,-17.000,-17.927,-16.235,-19.088,-16.000,0.0,198.0,3.0,-0.9,-2.9,,-30.686,19.521,-22.63,3.015,0.3933333333,2.7066666667,27,4,23.6518322371,0,,
2.3,-17.000,-18.362,8.206,5.533,-16.000,17.000,15.638,12.029,9.356,-16.000,17.000,15.638,-5.147,-7.820,-16.000,-17.000,-18.362,-16.618,-19.291,-16.000,0.0,207.0,3.0,-1.4,-2.7,,-32.52,19.568,-22.985,3.0566666667,0.3133333333,2.3666666667,27,3,20.6807892714,0.3823529412,,
2.4,-17.000,-18.763,7.824,5.396,-16.000,17.000,15.237,11.647,9.220,-16.000,17.000,15.237,-5.529,-7.956,-16.000,-17.000,-18.763,-17.000,-19.427,-16.000,0.0,216.0,3.0,-1.8,-2.4,leg 4 lifts,-34.38,19.607,-23.289,3.1,0.26,2.0266666667,28,3,17.7097463056,0.7647058824,,
2.5,-17.000,-19.121,7.441,5.320,-16.000,17.000,14.879,11.265,9.143,-16.000,17.000,14.879,-5.912,-8.033,-16.000,-17.000,-19.121,-17.582,-19.703,-13.649,0.0,225.0,3.0,-2.1,-2.1,,-36.268,19.638,-23.544,3.1466666667,0.2066666667,1.7,28,2,14.8552148287,1.1470588235,,
2.6,-17.000,-19.427,7.059,5.295,-16.000,17.000,14.573,10.882,9.119,-16.000,17.000,14.573,-6.294,-8.057,-16.000,-17.000,-19.427,-14.317,-16.080,-12.196,0.0,234.0,3.0,-2.4,-1.8,,-38.171,19.661,-23.747,3.1716666667,0.1533333333,1.3533333333,28,2,11.8259161186,1.5294117647,,
2.7,-17.000,-19.673,6.676,5.314,-16.000,17.000,14.327,10.500,9.138,-16.000,17.000,14.327,-6.676,-8.038,-16.000,-17.000,-19.673,-10.708,-12.070,-12.196,0.0,243.0,3.0,-2.7,-1.4,,-40.093,19.678,-23.9,3.2033333333,0.1133333333,1.02,28,1,8.9131288972,1.9117647059,,
