Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,l1ift,l21ift,l31ift,l41ift
5.5,-13.9,18.9,-19.665,13.9,18.9,-19.665,13.9,-8.9,-19.665,-13.9,-8.9,-19.665,-0,0,0,0,0,
5.6,-14.4226,18.8726,-19.665,13.3774,18.8726,-19.665,13.3774,-8.92739,-19.665,-14.4226,-8.92739,-19.665,-0,0,0,0,0,
5.7,-14.9396,18.7907,-19.665,12.8604,18.7907,-19.665,12.8604,-9.00926,-19.665,-14.9396,-9.00926,-19.665,-0,0,0,0,0,
5.8,-15.4451,18.6553,-19.665,12.3549,18.6553,-19.665,12.3549,-9.14472,-19.665,-15.4451,-9.14472,-19.665,-0,0,0,0,0,
5.9,-15.9337,18.4677,-19.665,11.8663,18.4677,-19.665,11.8663,-9.33227,-19.665,-15.9337,-9.33227,-19.665,-0,0,0,0,0,
6,-16.4,18.2301,-19.665,11.4,18.2301,-19.665,11.4,-9.56987,-19.665,-16.4,-9.56987,-19.665,-0,0,0,0,0,
6.1,-16.8389,17.9451,-19.665,10.9611,17.9451,-19.665,10.9611,-9.85492,-19.665,-16.8389,-9.85492,-19.665,-0,0,0,0,0,
6.2,-17.2457,17.6157,-19.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,0,0,0,0,
6.3,-17.2457,17.6157,-19.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
6.4,-17.2457,17.6157,-19.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
6.5,-17.2457,17.6157,-18.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
6.6,-17.2457,17.6157,-17.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
6.7,-17.2457,17.6157,-17.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
6.8,-17.2457,17.6157,-16.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
6.9,-17.2457,17.6157,-16.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7,-17.2457,17.6157,-15.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.1,-17.2457,17.6157,-14.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.2,-17.2457,17.6157,-14.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.3,-17.2457,17.6157,-13.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.4,-17.2457,17.6157,-13.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.5,-17.2457,17.6157,-12.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.6,-17.2457,17.6157,-11.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.7,-17.2457,17.6157,-11.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.8,-17.2457,17.6157,-10.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
7.9,-17.2457,17.6157,-10.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
8,-17.2457,17.6157,-9.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
8.1,-17.2457,17.6157,-8.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
8.2,-17.2457,17.6157,-8.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,1,0,0,0,
8.3,-17.2457,17.6157,-7.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
8.4,-17.2457,17.6157,-8.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
8.5,-17.2457,17.6157,-8.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
8.6,-17.2457,17.6157,-9.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
8.7,-17.2457,17.6157,-10.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
8.8,-17.2457,17.6157,-10.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
8.9,-17.2457,17.6157,-11.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9,-17.2457,17.6157,-11.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.1,-17.2457,17.6157,-12.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.2,-17.2457,17.6157,-13.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.3,-17.2457,17.6157,-13.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.4,-17.2457,17.6157,-14.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.5,-17.2457,17.6157,-14.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.6,-17.2457,17.6157,-15.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.7,-17.2457,17.6157,-16.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-1,0,0,0,
9.8,-17.2457,17.6157,-16.665,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-2,0,0,0,
9.9,-17.2457,17.6157,-17.265,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-2,0,0,0,
10,-17.2457,17.6157,-17.865,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-2,0,0,0,
10.1,-17.2457,17.6157,-18.465,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-3,0,0,0,
10.2,-17.2457,17.6157,-19.065,10.5543,17.6157,-19.665,10.5543,-10.1843,-19.665,-17.2457,-10.1843,-19.665,-0,-3,0,0,0,
10.3,-17.6157,17.2457,-19.665,10.1843,17.2457,-19.665,10.1843,-10.5543,-19.665,-17.6157,-10.5543,-19.665,-0,0,0,0,0,
10.4,-17.9451,16.8389,-19.665,9.85492,16.8389,-19.665,9.85492,-10.9611,-19.665,-17.9451,-10.9611,-19.665,-0,0,0,0,0,
10.5,-18.2301,16.4,-19.665,9.56987,16.4,-19.665,9.56987,-11.4,-19.665,-18.2301,-11.4,-19.665,-0,0,0,0,0,
10.6,-18.4677,15.9337,-19.665,9.33227,15.9337,-19.665,9.33227,-11.8663,-19.665,-18.4677,-11.8663,-19.665,-0,0,0,0,0,
10.7,-18.6553,15.4451,-19.665,9.14472,15.4451,-19.665,9.14472,-12.3549,-19.665,-18.6553,-12.3549,-19.665,-0,0,0,0,0,
10.8,-18.7907,14.9396,-19.665,9.00926,14.9396,-19.665,9.00926,-12.8604,-19.665,-18.7907,-12.8604,-19.665,-0,0,0,0,0,
10.9,-18.8726,14.4226,-19.665,8.92739,14.4226,-19.665,8.92739,-13.3774,-19.665,-18.8726,-13.3774,-19.665,-0,0,0,0,0,
11,-18.9,13.9,-19.665,8.9,13.9,-19.665,8.9,-13.9,-19.665,-18.9,-13.9,-19.665,0,0,0,0,0,
