Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,waist,l1ift,l21ift,l31ift,l41ift
0,-8.9,13.9,-19.665,18.9,13.9,-19.665,18.9,-13.9,-19.665,-8.9,-13.9,-19.665,-0,0,0,0,0,
0.1,-8.92739,14.4226,-19.665,18.8726,14.4226,-19.665,18.8726,-13.3774,-19.665,-8.92739,-13.3774,-19.665,-0,0,0,0,0,
0.2,-9.00926,14.9396,-19.665,18.7907,14.9396,-19.665,18.7907,-12.8604,-19.665,-9.00926,-12.8604,-19.665,-0,0,0,0,0,
0.3,-9.14472,15.4451,-19.665,18.6553,15.4451,-19.665,18.6553,-12.3549,-19.665,-9.14472,-12.3549,-19.665,-0,0,0,0,0,
0.4,-9.33227,15.9337,-19.665,18.4677,15.9337,-19.665,18.4677,-11.8663,-19.665,-9.33227,-11.8663,-19.665,-0,0,0,0,0,
0.5,-9.56987,16.4,-19.665,18.2301,16.4,-19.665,18.2301,-11.4,-19.665,-9.56987,-11.4,-19.665,-0,0,0,0,0,
0.6,-9.85492,16.8389,-19.665,17.9451,16.8389,-19.665,17.9451,-10.9611,-19.665,-9.85492,-10.9611,-19.665,-0,0,0,0,0,
0.7,-10.1843,17.2457,-19.665,17.6157,17.2457,-19.665,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,0,0,0,
0.8,-10.1843,17.2457,-19.665,17.6157,17.2457,-19.665,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
0.9,-10.1843,17.2457,-19.665,17.6157,17.2457,-19.065,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1,-10.1843,17.2457,-19.665,17.6157,17.2457,-18.465,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.1,-10.1843,17.2457,-19.665,17.6157,17.2457,-17.865,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.2,-10.1843,17.2457,-19.665,17.6157,17.2457,-17.265,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.3,-10.1843,17.2457,-19.665,17.6157,17.2457,-16.665,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.4,-10.1843,17.2457,-19.665,17.6157,17.2457,-16.065,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.5,-10.1843,17.2457,-19.665,17.6157,17.2457,-15.465,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.6,-10.1843,17.2457,-19.665,17.6157,17.2457,-14.865,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.7,-10.1843,17.2457,-19.665,17.6157,17.2457,-14.265,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.8,-10.1843,17.2457,-19.665,17.6157,17.2457,-13.665,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
1.9,-10.1843,17.2457,-19.665,17.6157,17.2457,-13.065,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
2,-10.1843,17.2457,-19.665,17.6157,17.2457,-12.465,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
2.1,-10.1843,17.2457,-19.665,17.6157,17.2457,-11.865,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
2.2,-10.1843,17.2457,-19.665,17.6157,17.2457,-11.265,17.6157,-10.5543,-19.665,-10.1843,-10.5543,-19.665,-0,0,1,0,0,
